age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
47,Private,256866,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,United-States,<=50K
59,Private,197148,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,24,United-States,>50K
43,Private,242488,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,5013,0,40,United-States,<=50K
23,?,234970,Some-college,10,Never-married,?,Own-child,Black,Female,0,0,40,United-States,<=50K
39,Federal-gov,200968,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,45,United-States,>50K
18,Private,274057,11th,7,Never-married,Other-service,Own-child,Black,Male,0,0,8,United-States,<=50K
56,Private,208415,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Male,0,0,40,?,<=50K
42,Private,356934,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
35,Private,154410,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
73,Private,301210,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1735,20,United-States,<=50K
31,Private,173495,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K
48,Private,248164,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,4386,0,50,United-States,>50K
35,Self-emp-inc,196373,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,433788,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
26,Local-gov,117833,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,4865,0,35,United-States,<=50K
65,Private,115880,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
26,Self-emp-not-inc,233933,10th,6,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,32,United-States,<=50K
42,Private,52781,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,586657,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Japan,>50K
62,Private,113080,7th-8th,4,Divorced,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
76,Self-emp-not-inc,225964,Some-college,10,Widowed,Sales,Not-in-family,White,Male,0,0,8,United-States,<=50K
20,?,194096,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
41,Private,113823,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
49,State-gov,185800,Masters,14,Divorced,Prof-specialty,Unmarried,Black,Female,7430,0,40,United-States,>50K
30,Private,76107,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,>50K
23,Private,117618,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
50,Private,285200,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,35,United-States,>50K
40,Private,79372,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
52,Private,213209,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
46,Private,328216,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K
45,Self-emp-not-inc,225456,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
43,Private,118308,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K
56,Private,172071,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,0,0,40,Jamaica,<=50K
43,Private,209149,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K
26,Private,84619,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
36,Private,447346,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
48,State-gov,99086,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,<=50K
39,Self-emp-not-inc,326400,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Self-emp-not-inc,170721,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2002,40,United-States,<=50K
17,Private,342752,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
57,Private,220871,7th-8th,4,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
73,Private,29675,HS-grad,9,Widowed,Other-service,Other-relative,White,Female,0,0,12,United-States,<=50K
50,Federal-gov,183611,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,152231,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
23,Self-emp-not-inc,121313,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
26,Private,102106,10th,6,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
40,Private,117860,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
58,Private,285885,9th,5,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
29,Private,194864,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,18,United-States,<=50K
69,Private,106595,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,1848,0,40,United-States,<=50K
28,Private,144521,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K
54,State-gov,123592,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,3887,0,35,United-States,<=50K
25,Private,191921,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
53,Federal-gov,68985,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,22418,9th,5,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
57,Private,163047,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,38,United-States,<=50K
51,Private,153870,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603,40,United-States,<=50K
47,Private,197702,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,33644,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
46,Private,73019,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
54,Private,169182,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,38,Puerto-Rico,<=50K
61,Private,153790,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
59,Private,96840,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
48,Private,217019,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,28,United-States,<=50K
51,Private,123703,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,40,United-States,>50K
46,State-gov,312015,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
61,Private,230292,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,40,United-States,>50K
26,Private,120238,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,3325,0,40,United-States,<=50K
42,Private,147099,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,<=50K
35,Private,36214,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,47,United-States,>50K
64,Private,165020,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
39,Private,187098,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,47,United-States,>50K
43,?,142030,HS-grad,9,Divorced,?,Unmarried,White,Female,0,0,40,United-States,<=50K
62,Private,121319,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,40,United-States,>50K
53,Private,151580,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,>50K
26,Private,35917,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,62155,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,35,United-States,<=50K
46,Private,174370,Some-college,10,Separated,Sales,Not-in-family,White,Male,0,0,55,United-States,<=50K
40,Private,193882,Assoc-voc,11,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
61,Private,160037,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,0,0,35,United-States,<=50K
31,State-gov,188900,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,3325,0,35,United-States,<=50K
29,Private,204862,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,<=50K
41,Self-emp-not-inc,83411,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
21,Private,198992,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,33,United-States,<=50K
45,Private,337825,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
34,Private,192002,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
26,Private,164488,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,13550,0,50,United-States,>50K
41,Private,184846,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
28,Private,499001,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,Mexico,<=50K
31,Private,255004,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,1741,38,United-States,<=50K
51,Private,146767,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
43,Private,313181,HS-grad,9,Divorced,Adm-clerical,Other-relative,Black,Male,0,0,38,United-States,<=50K
31,Private,226443,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K
20,Private,216436,Bachelors,13,Never-married,Sales,Other-relative,Black,Female,0,0,30,United-States,<=50K
25,Private,213412,Bachelors,13,Never-married,Tech-support,Unmarried,White,Male,0,0,40,United-States,<=50K
31,Private,369825,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,4101,0,50,United-States,<=50K
56,Private,199763,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
26,Private,239390,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,18,United-States,<=50K
40,Self-emp-inc,37869,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
32,Private,302845,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,48,United-States,<=50K
38,Private,173968,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
28,Private,791084,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,50,United-States,<=50K
19,Private,183258,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
67,Private,154035,HS-grad,9,Widowed,Handlers-cleaners,Other-relative,Black,Male,0,0,32,United-States,<=50K
37,Private,155064,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
20,Private,33551,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
40,Private,104196,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
39,State-gov,114055,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
49,Private,196571,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
72,Private,195184,HS-grad,9,Widowed,Priv-house-serv,Unmarried,White,Female,0,0,12,Cuba,<=50K
26,Private,186151,HS-grad,9,Separated,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
39,Private,297449,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
40,Self-emp-not-inc,125206,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,108140,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,20,United-States,<=50K
63,Private,264968,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,156025,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
43,Private,115178,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
21,Private,149224,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,30,United-States,<=50K
38,Private,174717,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
75,?,173064,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,6,United-States,<=50K
29,Private,147755,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1672,40,United-States,<=50K
52,Self-emp-not-inc,135716,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,<=50K
28,Private,37359,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,>50K
30,State-gov,70617,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,10,China,<=50K
30,Private,154950,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
27,Private,271714,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
36,State-gov,116554,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,430084,Some-college,10,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
39,Private,202937,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,Poland,<=50K
24,Private,508548,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
49,Private,105431,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
47,Self-emp-not-inc,159869,Doctorate,16,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
35,Private,66297,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,>50K
49,Private,128736,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
27,Private,302406,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
54,State-gov,161334,Masters,14,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,China,<=50K
24,Self-emp-inc,189148,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
44,Self-emp-not-inc,103111,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
23,Private,31606,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
18,Private,39529,12th,8,Never-married,Other-service,Own-child,White,Female,0,0,32,United-States,<=50K
29,Private,107812,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,111891,HS-grad,9,Separated,Machine-op-inspct,Other-relative,Black,Female,0,0,40,United-States,<=50K
61,Private,202952,10th,6,Divorced,Other-service,Not-in-family,Black,Female,0,0,24,United-States,<=50K
34,Private,114955,Assoc-acdm,12,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
50,Self-emp-not-inc,57758,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
29,Private,207064,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,193090,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,3674,0,40,United-States,<=50K
28,Local-gov,304960,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,1980,40,United-States,<=50K
20,?,210029,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,142519,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
49,Private,104455,Bachelors,13,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
77,Self-emp-inc,192230,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,51111,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Local-gov,258037,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Cuba,>50K
42,Local-gov,188291,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1902,40,United-States,>50K
33,Private,159247,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
35,Self-emp-not-inc,102471,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,80,Puerto-Rico,<=50K
39,Private,135020,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
26,Federal-gov,76900,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,112176,Some-college,10,Divorced,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
49,Private,122066,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,Hungary,<=50K
19,?,217769,Some-college,10,Never-married,?,Own-child,White,Female,594,0,10,United-States,<=50K
23,Private,220993,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,1590,48,United-States,<=50K
35,Private,139012,Bachelors,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
28,Federal-gov,329426,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Local-gov,101950,Prof-school,15,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
49,Private,143482,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
53,Private,200190,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,United-States,>50K
27,Private,189589,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
20,Private,164574,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
28,Private,215955,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,40,United-States,>50K
24,Private,216129,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
62,Local-gov,407669,7th-8th,4,Widowed,Other-service,Not-in-family,Black,Female,0,0,35,United-States,<=50K
43,Local-gov,214242,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
30,Self-emp-inc,124420,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,4650,0,40,United-States,<=50K
18,Private,142751,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
19,State-gov,431745,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
23,Private,240398,Bachelors,13,Never-married,Sales,Not-in-family,Black,Male,0,0,15,United-States,<=50K
50,Federal-gov,172046,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
30,Private,185177,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,43,United-States,<=50K
57,Private,218649,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
22,State-gov,157541,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,10,United-States,<=50K
70,Private,145419,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,5,United-States,<=50K
37,Private,69481,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,Private,106957,11th,7,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,14344,0,40,Vietnam,>50K
25,Private,182227,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K
30,Private,219110,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
31,Private,200192,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,Germany,<=50K
23,State-gov,33551,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,38,United-States,<=50K
42,Private,175133,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
32,Private,256362,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
44,Private,138077,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,32,United-States,<=50K
30,Private,103596,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,99,United-States,<=50K
33,Private,172304,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
36,Self-emp-not-inc,313853,Bachelors,13,Divorced,Other-service,Unmarried,Black,Male,0,0,45,United-States,>50K
33,Self-emp-not-inc,116539,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,129263,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,60,United-States,<=50K
50,Private,24013,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,84,United-States,>50K
22,Private,124940,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,44,United-States,<=50K
33,State-gov,313729,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<=50K
61,Private,192237,10th,6,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
28,?,168524,Assoc-voc,11,Married-civ-spouse,?,Own-child,White,Female,0,0,40,United-States,<=50K
27,Private,199903,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,Private,274679,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
25,Private,177499,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,1590,35,United-States,<=50K
37,Local-gov,221740,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States,>50K
58,Private,202652,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,37,United-States,<=50K
33,Private,171876,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
59,Private,157932,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
38,Private,354739,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,36,Philippines,>50K
34,Private,40067,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,326862,Some-college,10,Divorced,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
48,Local-gov,189762,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
45,Private,226246,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
23,Private,38251,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
33,Private,196385,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,>50K
38,Self-emp-not-inc,217054,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
48,Local-gov,238959,Masters,14,Divorced,Exec-managerial,Unmarried,Black,Female,9562,0,40,United-States,>50K
34,Private,98656,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,323069,Assoc-voc,11,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
30,Local-gov,233993,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,15,United-States,<=50K
52,Self-emp-inc,181855,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99999,0,65,United-States,>50K
40,Private,187164,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1672,45,United-States,<=50K
29,Private,216479,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
62,Private,135480,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,16,United-States,<=50K
22,Private,204160,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
26,Private,202033,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
48,Local-gov,334409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
36,Private,311255,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,Haiti,<=50K
56,State-gov,671292,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,38,United-States,>50K
53,Private,31460,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
22,Private,310152,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,3325,0,40,United-States,<=50K
25,Private,179953,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,2597,0,31,United-States,<=50K
32,Private,169955,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,36,Puerto-Rico,<=50K
50,Private,108435,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
37,State-gov,210452,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,<=50K
22,Local-gov,134181,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,50,United-States,<=50K
47,Private,183522,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,>50K
46,Private,83064,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
23,?,134997,Some-college,10,Separated,?,Unmarried,White,Female,0,0,20,United-States,<=50K
27,Self-emp-not-inc,442612,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,>50K
28,Private,54243,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,<=50K
54,Private,50385,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,45,United-States,>50K
47,State-gov,187581,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,48,United-States,>50K
42,Local-gov,176716,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
22,?,120572,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
